KD_KPP,NAMA_KANTOR,NAMA_KANWIL,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
77,KPP Pratama Jakarta Tanah Abang Tiga,KANTOR WILAYAH DJP JAKARTA PUSAT,171,4828,6942,1423,20,32,7670163031,103.69,140.59,58.21,1891,1365,314
78,KPP Madya Dua Jakarta Pusat,KANTOR WILAYAH DJP JAKARTA PUSAT,2,2263,192,100,35,40,11665361608,99.53,118.8,18.12,1380,817,616
81,KPP Minyak dan Gas Bumi,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,975,1,16,49,40,13343736619,100.0,114.58,40.89,464,242,440
85,KPP Pratama Jakarta Kalideres,KANTOR WILAYAH DJP JAKARTA BARAT,19,6073,53771,10496,14,38,9630171569,100.61,121.7,86.15,1978,2022,272
86,KPP Pratama Jakarta Kembangan,KANTOR WILAYAH DJP JAKARTA BARAT,45,7675,41717,7135,21,34,9188055109,111.57,110.13,103.67,3953,2909,436
87,KPP Madya Dua Jakarta Barat,KANTOR WILAYAH DJP JAKARTA BARAT,2,2116,196,59,35,40,9674839399,100.0,118.01,14.72,1074,695,270
91,KPP Wajib Pajak Besar Satu,KANTOR WILAYAH DJP WAJIB PAJAK BESAR,0,602,0,0,30,30,9678243023,99.53,108.36,57.94,221,290,510
92,KPP Wajib Pajak Besar Dua,KANTOR WILAYAH DJP WAJIB PAJAK BESAR,1,406,0,0,30,30,10018622980,100.0,111.85,33.38,263,96,370
93,KPP Wajib Pajak Besar Empat,KANTOR WILAYAH DJP WAJIB PAJAK BESAR,1,858,1035,117,30,35,10185895456,99.4,104.77,8.62,248,183,303
95,KPP Madya Jakarta Selatan II,KANTOR WILAYAH DJP JAKARTA SELATAN II,2,1355,157,58,30,35,23168531281,98.65,110.63,34.14,687,534,391
96,KPP Madya Dua Jakarta Selatan II,KANTOR WILAYAH DJP JAKARTA SELATAN II,2,1483,499,64,30,39,21165805600,99.81,115.19,20.17,690,515,354
97,KPP Madya Dua Jakarta Timur,KANTOR WILAYAH DJP JAKARTA TIMUR,2,1059,124,42,30,30,21189484488,100.0,114.21,34.41,757,716,326
98,KPP Madya Dua Jakarta Utara,KANTOR WILAYAH DJP JAKARTA UTARA,2,1163,91,28,30,29,9176941478,100.0,121.63,30.39,559,352,235
101,KPP Pratama Banda Aceh,KANTOR WILAYAH DJP ACEH,398,9705,45387,9065,12,36,15070362802,102.60000000000001,136.61,34.16,3534,2077,419
102,KPP Pratama Lhokseumawe,KANTOR WILAYAH DJP ACEH,1135,6055,36629,9128,7,22,8955095725,113.57,128.01,-21.97,1071,1108,173
103,KPP Pratama Meulaboh,KANTOR WILAYAH DJP ACEH,981,4292,37798,13594,5,20,8605969126,110.25,110.77,88.5,1028,764,102
104,KPP Pratama Bireuen,KANTOR WILAYAH DJP ACEH,1774,6902,43317,20664,7,26,9351175441,110.52,141.57,-2.51,893,581,157
105,KPP Pratama Langsa,KANTOR WILAYAH DJP ACEH,1258,4824,48297,19324,7,29,9307212737,100.21,127.34,22.67,1097,931,224
106,KPP Pratama Tapak Tuan,KANTOR WILAYAH DJP ACEH,805,2943,35404,8820,6,20,8466233905,106.50999999999999,139.82,14.46,1753,812,155
107,KPP Pratama Subulussalam,KANTOR WILAYAH DJP ACEH,848,3003,26595,11010,6,16,7382506643,110.97999999999999,127.99,6.85,677,218,111
108,KPP Pratama Aceh Besar,KANTOR WILAYAH DJP ACEH,1702,5788,57886,12690,7,28,10287294065,110.45,138.04,-9.31,1941,1366,221
111,KPP Pratama Medan Barat,KANTOR WILAYAH DJP SUMATERA UTARA I,78,9112,59332,24906,21,46,12038079384,100.59,116.0,87.0,1913,1921,434
112,KPP Pratama Medan Belawan,KANTOR WILAYAH DJP SUMATERA UTARA I,34,3333,34526,9027,7,35,8334396323,100.72000000000001,125.3,109.01,1325,1059,169
113,KPP Pratama Medan Timur,KANTOR WILAYAH DJP SUMATERA UTARA I,39,5123,36105,13193,10,33,7828364820,100.55000000000001,112.45,119.08,1108,1045,309
114,KPP Pratama Tebing Tinggi,KANTOR WILAYAH DJP SUMATERA UTARA II,513,3275,19731,12570,6,19,8601968250,101.53000000000002,128.48,60.85,1423,1111,228
115,KPP Pratama Kisaran,KANTOR WILAYAH DJP SUMATERA UTARA II,591,5730,67829,22939,13,32,10368709696,101.61,110.39,14.97,2454,1134,346
116,KPP Pratama Rantau Prapat,KANTOR WILAYAH DJP SUMATERA UTARA II,508,3775,31695,27490,13,26,10488376719,109.78000000000002,113.25,43.37,1412,624,311
117,KPP Pratama Pematang Siantar,KANTOR WILAYAH DJP SUMATERA UTARA II,635,5236,71146,22210,13,32,9367526744,84.39999999999999,119.53,57.3,1819,1942,375
118,KPP Pratama Padang Sidempuan,KANTOR WILAYAH DJP SUMATERA UTARA II,1737,5335,54363,21750,11,34,10499291288,110.00000000000001,112.96,4.55,2650,1303,274
119,KPP Pratama Binjai,KANTOR WILAYAH DJP SUMATERA UTARA I,434,4350,48945,19186,7,25,8183303239,100.96000000000001,126.79,42.92,697,848,239
121,KPP Pratama Medan Polonia,KANTOR WILAYAH DJP SUMATERA UTARA I,147,8728,49109,16084,21,35,8214509026,100.8,120.62,62.83,1801,1400,406
123,KPP Madya Medan,KANTOR WILAYAH DJP SUMATERA UTARA I,1,1784,317,286,30,41,9255414221,100.0,115.39,66.51,584,856,264
124,KPP Pratama Medan Petisah,KANTOR WILAYAH DJP SUMATERA UTARA I,100,7164,38649,13529,14,37,8699569031,100.44,120.89,52.75,899,1152,415
125,KPP Pratama Lubuk Pakam,KANTOR WILAYAH DJP SUMATERA UTARA I,567,8335,48598,20028,21,37,9428014482,100.44999999999999,116.61,53.57,1515,2391,400
126,KPP Pratama Sibolga,KANTOR WILAYAH DJP SUMATERA UTARA II,1571,3808,58274,15033,5,35,11085073885,102.4,125.32,18.7,1166,1035,262
127,KPP Pratama Balige,KANTOR WILAYAH DJP SUMATERA UTARA II,1029,4824,28295,15347,5,26,13177864606,116.33,124.58,14.66,781,717,220
